Date,Component,MOS,Cutoff_SGT,Cutoff_SSG,Eligibles_SGT,Eligibles_SSG,Promotions_SGT,Promotions_SSG
2024-AUG,ACTIVE,15G,629,798,102,51,1,0
2024-AUG,ACTIVE,15H,537,793,38,37,2,1
2024-AUG,ACTIVE,15M,530,703,63,41,2,3
2024-AUG,ACTIVE,15N,426,791,30,72,2,2
2024-AUG,ACTIVE,15P,354,638,37,83,4,1
2024-AUG,ACTIVE,15Q,298,129,58,9,12,9
2024-AUG,ACTIVE,15R,570,702,529,238,24,8
2024-AUG,ACTIVE,15T,478,516,468,364,41,17
2024-AUG,ACTIVE,15U,492,622,225,203,14,10
2024-AUG,ACTIVE,15W,560,671,194,73,8,5
2024-AUG,ACTIVE,15Y,455,751,175,137,13,1
2024-AUG,ACTIVE,17C,81,24,17,9,17,9
2024-AUG,ACTIVE,17E,24,24,13,5,13,5
2024-AUG,ACTIVE,19D,798,798,579,345,0,0
2024-AUG,ACTIVE,19K,24,187,43,44,43,30
2024-AUG,ACTIVE,25B,656,711,934,645,7,7
2024-AUG,ACTIVE,25D,,24,,0,,0
2024-AUG,ACTIVE,25E,,798,,1,,0
2024-AUG,ACTIVE,25H,480,654,598,509,26,17
2024-AUG,ACTIVE,25S,463,730,228,241,17,2
2024-AUG,ACTIVE,25U,593,738,856,787,18,15
2024-AUG,ACTIVE,27D,252,541,49,136,25,21
2024-AUG,ACTIVE,31B,798,798,422,466,0,0
2024-AUG,ACTIVE,31D,24,798,2,35,2,0
